"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","5",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","39.28",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","33.56",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","33.56",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","33.56",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","33.95",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","33.95",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","31.7",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","49.2",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","49.2",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","49.2",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","44",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","44",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","29",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","29",""
"Honduras","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","35",""
"Honduras","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","35",""
"Hungary","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","3",""
"Hungary","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","3",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","756",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","710",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","665",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","665",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","665",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","665",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","665",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","665",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","575",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","575",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","575",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","485",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","422",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","232",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","202",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","202",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","202",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","202",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","172",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","172",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","140",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","80",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","51",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","51",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","51",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","51",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","45",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","45",""
"Iceland","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","46",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","1981",""
