country,population,total_prod,solar,wind,hydro,geothermal,nuclear,others,solar_nic,wind_nic,hydro_nic,geothermal_nic,nuclear_nic
India,1352642.28,1413661.0,39728.0,64294.0,134991.0,0.0,37813.0,1136835.0,28455.0,38825.0,45447.0,0.0,6780.0
Indonesia,267670.543,273793.0,6.6,0.0,19774.0,12804.0,0.0,241208.4,14.0,1.0,5741.0,1981.0,0.0
Iran (Islamic Republic of),81800.188,,,,,,,,,,,,
Iraq,38433.6,80431.0,377.0,0.0,1818.0,0.0,0.0,78236.0,216.0,0.0,1796.0,0.0,0.0
Ireland,4818.69,30353.0,0.0,8640.0,932.0,0.0,0.0,20781.0,24.0,3676.0,529.0,0.0,0.0
Isle of Man,84.07700000000001,457.4,0.0,0.0,3.0,0.0,0.0,454.4,0.0,0.0,1.2,0.0,0.0
Israel,8381.516,66590.0,1574.0,183.0,0.0,0.0,0.0,64833.0,1358.0,35.0,9.0,0.0,0.0
Italy,60627.291,279844.0,22654.0,17716.0,50503.0,6105.0,0.0,182866.0,20108.0,10230.0,22498.0,767.0,0.0
Jamaica,2934.847,4383.0,46.0,302.0,179.0,0.0,0.0,3856.0,40.0,102.0,29.0,0.0,0.0
Japan,127202.192,1026696.0,62668.0,7481.0,88348.0,2524.0,64929.0,800746.0,56162.0,3497.0,50037.0,474.0,38042.0
Jordan,9965.318000000001,18338.6,836.2,707.0,22.7,0.0,0.0,16772.699999999997,698.5,280.4,12.0,0.0,0.0
Kazakhstan,18319.618000000002,94624.0,116.0,427.0,10330.0,0.0,0.0,83751.0,56.0,200.0,2500.0,0.0,0.0
Kenya,51392.565,11053.0,0.0,376.0,3986.0,5128.0,0.0,1563.0,0.0,336.1,820.7,627.0,0.0
Kiribati,115.84700000000001,29.9,4.9,0.0,0.0,0.0,0.0,25.0,2.9,0.0,0.0,0.0,0.0
Kuwait,4137.312,65791.0,4.0,0.0,0.0,0.0,0.0,65787.0,4.0,0.0,0.0,0.0,0.0
Kyrgyzstan,6304.03,15534.0,0.0,0.0,14318.0,0.0,0.0,1216.0,0.0,0.0,3135.0,0.0,0.0
Land-locked Developing Countries (LLDC),508906.024,,,,,,,,,,,,
Lao People's Democratic Republic,7061.507,,,,,,,,,,,,
Latin America and the Caribbean,1284433.364,,,,,,,,,,,,
Latvia,1928.4589999999998,6203.0,1.0,122.0,2432.0,0.0,0.0,3648.0,2.0,79.0,1565.0,0.0,0.0
Least developed countries,1009691.2220000001,,,,,,,,,,,,
Lebanon,6859.408,23102.0,48.0,0.0,348.0,0.0,0.0,22706.0,42.0,0.0,253.0,0.0,0.0
Lesotho,2108.328,516.66,0.0,0.0,516.66,0.0,0.0,0.0,0.28,0.0,74.18,0.0,0.0
Less developed regions,6363532.129,,,,,,,,,,,,
"Less developed regions, excluding China",4904154.517,,,,,,,,,,,,
"Less developed regions, excluding least developed countries",5353840.907,,,,,,,,,,,,
Liberia,4818.973,327.0,4.0,0.0,122.0,0.0,0.0,201.0,3.0,0.0,92.0,0.0,0.0
Libya,6678.559,33329.0,8.0,0.0,0.0,0.0,0.0,33321.0,5.0,0.0,0.0,0.0,0.0
Liechtenstein,37.91,89.0,25.2,0.0,61.9,0.0,0.0,1.9000000000000057,5.0,0.0,10.0,0.0,0.0
Lithuania,2801.264,3314.0,87.0,1144.0,960.0,0.0,0.0,1123.0,82.0,533.0,877.0,0.0,0.0
Low-income countries,736589.319,,,,,,,,,,,,
Lower-middle-income countries,3017014.452,,,,,,,,,,,,
Luxembourg,604.245,2171.0,120.0,255.0,1336.0,0.0,0.0,460.0,131.0,123.0,1330.0,0.0,0.0
Madagascar,26262.313,2047.0,0.12,0.0,968.3,0.0,0.0,1078.58,1.0,0.1,166.0,0.0,0.0
Malawi,18143.217,2055.655,0.0,0.0,2080.655,0.0,0.0,-25.0,0.0,0.0,450.0,0.0,0.0
Malaysia,31528.033,169882.0,632.0,0.0,26325.0,0.0,0.0,142925.0,1004.0,0.0,6167.9,0.0,0.0
Maldives,515.696,751.0,14.0,2.0,0.0,0.0,0.0,735.0,10.0,1.0,0.0,0.0,0.0
Mali,19077.749,3248.0,2.9,0.0,1130.0,0.0,0.0,2115.1,2.0,0.0,550.0,0.0,0.0
Malta,439.24800000000005,1912.0,190.0,0.06,0.0,0.0,0.0,1721.94,131.3,0.1,0.0,0.0,0.0
Marshall Islands,58.413000000000004,89.5,2.0,0.0,0.0,0.0,0.0,87.5,2.0,0.0,0.0,0.0,0.0
