"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","1866",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","1866",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","1866",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","1866",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","1866",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","1866",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","1851",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","1843",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","1840",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","1760",""
"Hungary","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","1760",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","6780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","6780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","6780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","5780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","5780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","4780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","4780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","4780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","4780",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","4560",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","4120",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","4120",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","3900",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","3360",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","2770",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","2720",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","2720",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","2720",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","2860",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","2680",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","2225",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","2225",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","2225",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","2225",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","2225",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","2005",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","2005",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","1785",""
"India","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","1565",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","1020",""
"Iran (Islamic Rep. of)","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","1020",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","38042",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","39132",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","41482",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","42048",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","44264",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","44264",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","46148",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","48960",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","48960",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","48847",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","47935",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","49467",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","49467",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","49580",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","47122",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","45742",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","45907",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","45907",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","45248",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","45248",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","45248",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","45248",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","42712",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","41356",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","40531",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","38541",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","34584",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","33404",""
"Japan","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","31645",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","21850",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","22529",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","23116",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","21716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","20716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","20716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","20716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","18716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","17716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","17716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","17716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","17716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","17716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","17176",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","16716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","15716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","15716",""
