"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Bolivia (Plur. State of)","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","0.5","1"
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2019","Kilowatts,  thousand","11.7","1"
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","11.5","1"
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","11.3","1"
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","11.1",""
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","10.8","1"
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","10.8",""
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","10.8",""
"Bonaire, St Eustatius, Saba","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","10.8",""
"Bosnia and Herzegovina","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","51",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2019","Kilowatts,  thousand","15388",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","14400",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","12293",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","10129",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","7633",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","4888",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","2202",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","1886",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","1425",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","602",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","602",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","338",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","247",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","0",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","0",""
"Brazil","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","0",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2019","Kilowatts,  thousand","0.3","1"
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","0.3","1"
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","0.35","1"
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","0.5",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","0.5",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","0.5",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","0.5",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","0.5",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","0.5",""
"British Virgin Islands","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","0",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","699",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","698",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","699",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","699",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","700",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","683",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","677",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","541",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","488",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","333",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","114",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","30",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","27",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","8",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","1",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","0",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","0",""
"Bulgaria","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","0",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","31.1","1"
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","27.2",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","25.5",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","25.5",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","25.91",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","25.91",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","25.91",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","2.1",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","2.1",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","2.1",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","2.1",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","2.1",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","2.1",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","2000","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1999","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1998","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1997","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1996","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1995","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1994","Kilowatts,  thousand","2.4",""
"Cabo Verde","Electricity - total net installed capacity of electric power plants, wind","1993","Kilowatts,  thousand","1.2","1"
"Canada","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","12816",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","12250",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","11973",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","11214",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","9694",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","7801",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","6201",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","5265",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","3967",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","3282",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","2336",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","1840",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","1423",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","677",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","444",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","327",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","161",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","131",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","2000","Kilowatts,  thousand","92",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","1999","Kilowatts,  thousand","78",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","1998","Kilowatts,  thousand","23",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","1997","Kilowatts,  thousand","23",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","1996","Kilowatts,  thousand","23",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","1995","Kilowatts,  thousand","22",""
"Canada","Electricity - total net installed capacity of electric power plants, wind","1994","Kilowatts,  thousand","22",""
